Москва, 2220
Московская область, 686
СанктПетербург, 290
Нижегородская область, 131
Республика Северная Осетия, 121
Брянская область, 115
Тульская область, 90
Свердловская область, 90
Ростовская область, 86
Республика Дагестан, 84
Мурманская область, 70
Курская область, 68
Республика Мордовия, 67
Калужская область, 66
Краснодарский край, 63
Республика Башкортостан, 60
Республика Татарстан, 55
Самарская область, 55
Ленинградская область, 53
Рязанская область, 52
Республика Ингушетия, 46
КабардиноБалкарская Республика, 45
Тамбовская область, 44
Астраханская область, 44
Кировская область, 43
Пензенская область, 42
г Севастополь, 40
Воронежская область, 39
Орловская область, 38
Камчатский край, 38
Владимирская область, 37
Чувашская Республика, 37
Оренбургская область, 37
Республика Марий Эл, 35
Красноярский край, 35
Смоленская область, 34
Саратовская область, 33
Ивановская область, 31
Хабаровский край, 31
Новосибирская область, 29
Белгородская область, 28
Липецкая область, 28
Ставропольский край, 28
ХантыМансийский АО, 28
Ярославская область, 27
Алтайский край, 24
Калининградская область, 23
ЯмалоНенецкий АО, 22
Республика Хакасия, 22
Приморский край, 20
Ульяновская область, 19
Челябинская область, 19
Чеченская Республика, 18
Республика Бурятия, 18
Республика Саха (Якутия), 17
Республика Калмыкия, 16
КарачаевоЧеркесская Республика, 16
Волгоградская область, 16
Тюменская область, 16
Республика Коми, 14
Псковская область, 14
Костромская область, 13
Новгородская область, 12
Тверская область, 11
Пермский край, 10
Республика Крым, 9
Магаданская область, 7
Вологодская область, 6
Курганская область, 6
Иркутская область, 6
Томская область, 6
Забайкальский край, 6
Удмуртская Республика, 5
Омская область, 5
Амурская область, 5
Еврейская АО, 5
Архангельская область, 4
Республика Адыгея, 4
Республика Алтай, 3
Кемеровская область, 3
Республика Карелия, 1
Ненецкий автономный округ, 1
